Date,SO2,CO,O3,NO2,PM10 (cap),PM2.5,temp,rain,ws,wd,BLH,Cr,Ni,Zn,As,Pb,Mn
2019-03-12 04,0.002,0.3,0.053,0.007,24,16,8.2,0,2.8,320,838.5757,1.18,0.39,48.37,0.84,5.53,6.25
2019-03-12 05,0.002,0.3,0.058,0.007,25,18,8.1,0,2.8,290,759.87524,0.68,0.53,24.44,0.88,5.62,6.33
2019-03-12 06,0.002,0.4,0.055,0.008,28,14,7.7,0,1.7,270,695.7002,0.95,0.66,14.48,0.62,4.93,4.23
2019-03-12 07,0.002,0.4,0.046,0.012,17,16,7.1,0,0.9,230,487.46655,0.7,0.78,15.73,0.46,5.49,4.31
2019-03-12 08,0.002,0.4,0.042,0.015,22,18,7.7,0,3.6,270,520.3015,0.77,0.67,22.06,0.89,8.11,5.58
2019-03-12 09,0.002,0.4,0.053,0.01,27,35,9.3,0,3.4,270,625.59985,1.32,0.73,34.93,2.53,13.02,9.49
2019-03-12 10,0.003,0.5,0.058,0.009,43,40,10.2,0,2.3,340,850.1372,1.07,0.81,45.85,3.11,16.41,12.1
2019-03-12 11,0.003,0.5,0.06,0.009,52,45,11.5,0,2,230,1175.6226,1.67,0.91,53.53,3.02,18.38,13.86
2019-03-12 12,0.003,0.4,0.055,0.01,56,30,13.5,0,3.4,250,1484.8567,1.11,0.69,43.48,2.05,11.85,11.43
2019-03-12 13,0.002,0.4,0.056,0.008,42,18,14.3,0,4.2,200,1680.8328,1.19,0.75,40.29,1.57,7.53,8.77
2019-03-12 14,0.002,0.3,0.059,0.008,35,22,14.6,0,3.8,230,1877.3765,1.33,0.6,29.92,1.32,8.75,9.03
2019-03-12 15,0.002,0.3,0.061,0.008,46,26,15.3,0,4.4,230,2018.5139,1.63,0.73,35.57,1.77,11.37,12.07
2019-03-12 16,0.002,0.3,0.063,0.008,48,25,14.8,0,3.8,230,2044.3843,1.44,0.66,36.68,1.83,10.75,12.14
2019-03-12 17,0.003,0.4,0.064,0.009,51,34,13.6,0,2.7,250,1329.4971,2.14,0.88,40.48,1.85,11.35,14.33
2019-03-12 18,0.002,0.4,0.064,0.01,54,38,11,0,4.7,250,1207.104,1.55,0.96,41.46,1.98,12.56,13.41
2019-03-12 19,0.002,0.4,0.061,0.012,63,43,9.1,0,3.8,230,895.0166,1.33,1.06,36.74,1.83,10.85,12.05
2019-03-12 20,0.002,0.4,0.054,0.015,48,42,8.5,0,1.2,250,840.2605,1.53,1.11,32.04,1.63,9.3,11.03
2019-03-12 21,0.002,0.4,0.046,0.012,45,34,4.5,0.1,4.4,320,899.09155,1.25,0.7,28.63,1.13,8.43,8
2019-03-12 22,0.002,0.3,0.045,0.008,36,14,3.7,0,0.7,290,770.73755,0.45,0.27,7.88,0.55,2.55,1.82
2019-03-12 23,0.002,0.3,0.044,0.007,14,11,4.2,0,4.9,290,854.7554,0.74,0.22,10.68,0.36,2.88,2.27
2019-03-13 00,0.002,0.4,0.045,0.005,30,7,3.1,0.2,4.2,290,853.177,0.46,0.11,7.29,0.1,1.69,1.08
2019-03-13 01,0.002,0.3,0.042,0.006,7,4,2.1,0,1.4,360,852.8401,1.13,0.24,6.77,0.533728822,2.28,2.06
2019-03-13 02,0.002,0.3,0.043,0.005,12,5,2,0,2.9,320,898.37744,1.03,0.57,8.74,0.41,2.63,3.01
2019-03-13 03,0.002,0.3,0.044,0.005,17,9,1.2,0,3,320,988.8191,0.98,0.58,14.23,0.29,4.13,4.22
2019-03-13 04,0.003,0.4,0.045,0.005,21,8,1.2,0,2.4,20,1084.7361,1.5,0.28,20.01,0.87,4.71,5.65
2019-03-13 05,0.003,0.4,0.043,0.006,34,7,0.7,0,1.6,340,1040.3877,1.93,0.49,23.07,0.71,5.57,6.88
2019-03-13 06,0.003,0.4,0.041,0.007,33,10,0.8,0,1.4,340,981.47363,1.72,0.5,23.02,1.13,5.51,6.06
2019-03-13 07,0.003,0.4,0.025,0.019,27,10,-0.1,0,0.7,230,972.3423,1.41,0.63,23.81,1.25,6.12,5.57
2019-03-13 08,0.003,0.4,0.025,0.022,30,11,2.8,0,1.5,180,1178.345,1.67,0.62,25.17,1.7,6.49,5.01
2019-03-13 09,0.003,0.4,0.036,0.015,33,8,4,0,3.7,290,1641.6909,0.97,0.36,26.3,2.16,6.1,5.38
2019-03-13 10,0.003,0.4,0.044,0.007,32,9,5.6,0,3.1,320,1992.2605,1.15,0.16,22.16,2.76,6.41,5.15
2019-03-13 11,0.003,0.4,0.047,0.006,31,9,7.4,0,3.1,290,2457.085,0.62,0.21,28.18,1.8,5.6,4.76
2019-03-13 12,0.002,0.4,0.047,0.006,32,9,8.1,0,3.9,270,2814.7463,1.24,0.4,42.77,1.46,4.86,4.83
2019-03-13 13,0.003,0.4,0.049,0.005,27,7,8.4,0,4.8,250,2897.4233,1.01,0.17,22.08,1.42,5.17,5.28
2019-03-13 14,0.002,0.4,0.049,0.006,35,10,9.2,0,4.1,230,2892.9456,1.11,0.18,23.52,1.39,5.77,5.12
2019-03-13 15,0.002,0.3,0.049,0.005,32,13,9.5,0,3.7,320,2823.3757,0.67,0.37,21.2,1.15,4.91,4.18
2019-03-13 16,0.002,0.3,0.049,0.006,30,11,9.3,0,4.6,270,2757.6265,0.62,0.24,21.58,1.11,4.29,3.75
2019-03-13 17,0.002,0.3,0.048,0.006,27,10,8.7,0,5.3,270,2562.551,1.31,0.49,24.56,1.37,4.34,4.66
2019-03-13 18,0.002,0.3,0.047,0.007,27,9,8.5,0,3.6,290,2285.684,0.86,0.31,11.1,1.32,4.29,3.8
2019-03-13 19,0.002,0.4,0.046,0.007,25,10,7.2,0,2.2,320,1115.8176,1.26,0.32,10.17,1.2,4.55,3.71
2019-03-13 20,0.002,0.4,0.044,0.008,26,10,6.8,0,1.8,340,917.58057,1.44,0.38,10.29,1.06,4.53,3.65
2019-03-13 21,0.002,0.4,0.044,0.007,24,7,6.2,0,2.5,320,900.9038,0.77,0.39,8.96,0.55,4.11,3.35
2019-03-13 22,0.002,0.4,0.042,0.008,24,6,5.8,0,2.3,340,1042.8689,0.47,0.37,10.2,0.56,4.08,2.83
2019-03-13 23,0.002,0.4,0.044,0.007,28,5,5.3,0,2.8,290,875.7014,0.71,0.33,11.78,0.47,3.91,2.53
2019-03-14 00,0.004,0.4,0.03,0.022,29,7,4.8,0,3.5,290,695.58276,0.73,0.38,9.25,0.51,3.02,2.82
2019-03-14 01,0.002,0.4,0.046,0.005,21,6,4.3,0,5,290,634.8042,0.83,0.22,6.86,0.54,2.26,2.53
2019-03-14 02,0.002,0.4,0.046,0.005,25,3,4,0,3.2,290,589.0071,0.48,0.08,6.5,0.53,2.42,2.29
2019-03-14 03,0.002,0.4,0.045,0.004,24,2,3.2,0,2.1,290,525.18286,1.07,0.33,10.33,0.59,2.74,2.37
2019-03-14 04,0.002,0.4,0.046,0.004,18,3,2.8,0,2.5,340,457.10913,0.67,0.53,16.7,0.85,3.36,2.58
2019-03-14 05,0.002,0.4,0.043,0.005,22,5,1.8,0,0.6,160,413.29932,1.1,0.28,14.18,0.55,4.07,2.69
2019-03-14 06,0.002,0.4,0.04,0.007,14,5,0.7,0,0.5,360,367.7854,0.84,0.3,13.88,0.87,4.49,3.49
2019-03-14 07,0.002,0.4,0.039,0.007,15,6,1,0,0.7,320,267.95312,0.52,0.35,14.28,0.9,5.08,3.75
2019-03-14 08,0.002,0.4,0.04,0.009,19,6,4.2,0,1.7,340,314.0735,0.79,0.29,16.37,0.62,5.2,3.49
2019-03-14 09,0.002,0.4,0.03,0.017,13,3,5.4,0,1.6,360,434.8589,0.76,0.13,23.51,0.93,5.54,6.02
2019-03-14 10,0.002,0.4,0.041,0.011,24,3,7.7,0,1.5,320,564.80493,1.7,0.35,26.42,0.88,6.77,11.48
2019-03-14 11,0.002,0.4,0.048,0.006,20,2,9.5,0,2.1,270,763.83813,0.82,0.26,22.19,0.91,5.2,5.41
2019-03-14 12,0.002,0.4,0.047,0.007,15,2,10.4,0,2.4,340,1004.8369,1.23,0.16,19.06,0.51,5.07,4.55
2019-03-14 13,0.003,0.4,0.048,0.008,14,6,11.3,0,1.5,230,1302.3611,1.03,0.02,15.46,0.49,4.21,4.06
2019-03-14 14,0.007,0.4,0.043,0.017,18,6,11.9,0,3.3,140,1738.3608,0.71,2.63,21.77,2.12,5.87,5.8
2019-03-14 15,0.01,0.5,0.035,0.024,38,14.17608667,12.1,0,2.4,140,2056.1106,1.63,8.29,52.36,5.79,19.46,15.35
2019-03-14 16,0.009,0.5,0.036,0.025,36,16,12.4,0,2.2,140,2235.3433,4.01,10.69,72.22,8.63,31.66,24.68
2019-03-14 17,0.009,0.5,0.034,0.026,37,15,12.1,0,1.7,140,2296.2783,4.97,12.45,94.37,8.14,28.8,26.58
2019-03-14 18,0.009,0.5,0.025,0.033,35,19,10.6,0,2.5,110,442.3545,4.68,12.78,86.62,5.9,24.73,34.29
2019-03-14 19,0.007,0.5,0.023,0.033,39,18,8.7,0,0.1,257.1599353,358.58276,8.93,9.31,120.51,8.28,29.41,48.75
2019-03-14 20,0.004,0.4,0.027,0.029,34,13,9.3,0,2.7,230,344.01685,7.04,5.57,124.84,4.56,17.62,43.8
2019-03-14 21,0.004,0.4,0.035,0.021,31,11,8.8,0,1.8,230,382.43506,5.28,4.23,57.37,1.46,7.04,31.64
2019-03-14 22,0.004,0.4,0.037,0.018,28,12,8.4,0,2.4,200,322.5891,3.6,3.78,55.98,1.8,7.09,35.62
2019-03-14 23,0.004,0.5,0.031,0.021,31,18,7.7,0,2.8,270,277.4829,3.27,3.79,58.1,1.6,8,33.29
2019-03-15 00,0.002,0.3,0.047,0.006,18,13,7.4,0,1.5,230,274.09644,3.22,4.51,57.9,1.9,9.43,30.86
2019-03-15 01,0.004,0.4,0.042,0.014,37,18,7.2,0,1.7,230,302.11035,2.82,3.62,58.29,2.33,10.12,22.67
2019-03-15 02,0.004,0.5,0.04,0.016,33,22,7.4,0,2.1,230,316.68848,2.75,3.62,56.68,2.15,11.57,21.32
2019-03-15 03,0.004,0.5,0.044,0.015,39,27,7.3,0,1.3,230,248.00125,2.72,3.62,54.16,2.43,10.95,18.54
2019-03-15 04,0.004,0.5,0.049,0.011,43,19,7.5,0,1.7,250,196.09216,1.95,2.81,58.87,1.72,11.37,17.49
2019-03-15 05,0.003,0.4,0.049,0.01,41,21,7,0,1.1,250,159.00986,1.89,1.77,58.17,1.58,10.15,16.17
2019-03-15 06,0.003,0.5,0.025,0.02,38,17,3.7,0,0.2,302.1793429,159.48564,2.09,1.85,57.88,1.56,10.3,15.93
2019-03-15 07,0.003,0.5,0.011,0.035,38,20,4.1,0,0.7,70,156.88303,1.78,1.77,120.41,1.55,10.67,22.37
2019-03-15 08,0.003,0.5,0.012,0.034,48,17,5.4,0,1.1,20,158.84145,1.55,1.55,80.99,1.39,8.97,18.23
2019-03-15 09,0.003,0.5,0.03,0.026,42,23,7.7,0,3.3,250,326.5957,1.64,1.68,148.75,1.41,10.28,27.79
2019-03-15 10,0.002,0.3,0.053,0.012,41,17,6.5,0,3.4,250,723.7031,2.237695039,2.535844912,48.86260747,1.985892967,9.140835877,13.77333459
2019-03-15 11,0.002,0.3,0.053,0.01,26,17,9.4,0,4.5,250,1012.73755,1.13506887,0.562545131,32.00445804,2.340297105,9.130986156,7.723000604
2019-03-15 12,0.002,0.3,0.056,0.009,18,9,9.9,0,3.1,250,1336.471,1.11,0.49,18.36,0.79,4.61,5.63
2019-03-15 13,0.002,0.3,0.058,0.008,17,17,11.8,0,3.9,270,1823.6077,1.1,1.18,24.2,1.06,6.39,8.09
2019-03-15 14,0.002,0.3,0.06,0.007,23,18,13,0,3.5,250,2214.2969,1.08,1.09,21.94,0.58,6.39,6.18
2019-03-15 15,0.002,0.3,0.06,0.007,20,14,13.2,0,3.7,230,1909.7063,0.96,0.91,19.37,0.32,5.84,6.24
2019-03-15 16,0.002,0.3,0.06,0.007,17,17,12.3,0,3.1,230,1158.0928,1.31,0.86,21.93,0.38,6.44,7.4
2019-03-15 17,0.002,0.3,0.056,0.008,23,10,6.2,0,3.4,340,787.9075,0.93,0.56,16.05,0.39,4.32,5.01
2019-03-15 18,0.002,0.2,0.047,0.012,22,8,7.1,0.4,0.4,252.4275507,575.864,1,0.46,16.09,0.43,3.75,6.03
2019-03-15 19,0.004,0.4,0.032,0.024,15,17,6.8,0,2.5,230,164.59181,1.49,1.1,39.03,1.98,7.9,12.65
2019-03-15 20,0.002,0.3,0.037,0.019,24,21,5.8,0,1.6,290,79.50209,1.93,0.75,24.02,0.65,5.25,9.56
2019-03-15 21,0.002,0.3,0.032,0.018,23,23,5.2,0,2.1,320,110.74034,1.99,0.76,27.21,1.05,6.05,10.85
2019-03-15 22,0.002,0.3,0.042,0.012,22,13,2.2,0,0.4,275.6404262,480.3816,1.43,0.68,27.28,0.96,6.01,13.79
2019-03-15 23,0.002,0.3,0.047,0.008,14,13,3.9,0,2.8,290,868.8423,1.13,0.47,24.88,1.15,5.62,5.13
2019-03-16 00,0.003,0.4,0.031,0.02,34,11,3.3,4.3,2.4,290,847.0044,0.81,0.28,20.24,1.18,4.39,3.38
2019-03-16 01,0.002,0.3,0.047,0.006,12,10,3.6,0,2.5,320,819.1199,1.31,0.04,11.91,0.67,3.81,2.03
2019-03-16 02,0.002,0.3,0.046,0.006,8,6,3.4,0,2.9,290,784.0261,0.77,0.19,11.13,0.83,3.69,2.05
2019-03-16 03,0.002,0.3,0.047,0.006,11,5,3.9,0,3,320,693.88086,1.12,0.19,11.63,0.86,3.81,2.21
2019-03-16 04,0.002,0.3,0.046,0.005,10,8,4,0,2.9,320,587.291,0.77,0.26,12.56,1.05,4.6,2.66
2019-03-16 05,0.002,0.3,0.045,0.006,8,9,3,0,1.9,340,520.72534,1.08,0.3,12.28,0.5,5.32,2.44
2019-03-16 06,0.002,0.3,0.041,0.007,9,14,3.4,0,3.5,340,507.365,0.75,0.35,13.19,0.93,4.93,3.09
2019-03-16 07,0.002,0.3,0.04,0.007,15,12,3,0,2.7,340,345.9182,1.07,0.37,16.12,0.83,5.11,6.35
2019-03-16 08,0.002,0.3,0.038,0.008,13,13,4,0,3.7,320,337.02197,1.35,0.36,22.21,1.37,12.73,7.14
2019-03-16 09,0.002,0.3,0.039,0.008,19,14,6.3,0,2.6,340,417.1665,0.63,0.47,19.34,1.63,15.34,9.21
2019-03-16 10,0.002,0.3,0.044,0.007,15,10,7.1,0,2.5,340,584.0398,0.82,0.37,14.02,1.04,8.07,3.58
2019-03-16 11,0.002,0.3,0.046,0.007,17,9,9.4,0,1.1,180,1004.69556,0.41,0.3,13.75,1.12,6.22,3.82
2019-03-16 12,0.002,0.3,0.048,0.008,11,10,10,0,1.1,360,1341.8352,1,0.29,11.54,0.69,4.4,2.54
2019-03-16 13,0.002,0.3,0.056,0.007,12,9,11.3,0,1.8,250,1804.9075,0.77,0.23,10.62,0.89,3.51,2.88
2019-03-16 14,0.003,0.3,0.055,0.008,10,11,11.8,0,3.7,160,2055.7026,0.52,1.11,17.58,1.77,6.49,6.77
2019-03-16 15,0.009,0.3,0.047,0.017,16,19,12.2,0,4,140,2170.21,1.96,5.11,91.7,18.23,56.34,30.39
2019-03-16 16,0.007,0.3,0.05,0.015,28,17,11.6,0,3,160,2069.5686,2.66,4.44,82.08,13.29,52.65,27.23
2019-03-16 17,0.007,0.3,0.051,0.016,27,20,11.8,0,1.3,340,1283.5986,1.95,4.56,87.4,11.3,40.5,34.72
2019-03-16 18,0.005,0.3,0.049,0.014,25,19,10.5,0,0.9,340,692.5608,1.82,3.06,78.55,11.09,41.06,22.1
2019-03-16 19,0.004,0.3,0.043,0.017,25,20,10.5,0,3.6,230,450.08765,2.27,3.08,69.76,8.67,32.79,20.9
2019-03-16 20,0.003,0.4,0.047,0.014,26,27,10.1,0,2.6,230,393.4016,2.88,2.22,38.19,2.07,7.38,20.6
2019-03-16 21,0.003,0.4,0.045,0.015,28,28,8.8,0,1.3,360,303.77002,2.73,1.89,38.81,2.12,9.35,20.87
2019-03-16 22,0.003,0.5,0.033,0.022,31,24,7.9,0,1.4,290,195.49046,1.88,2.1,39.95,2.64,10.1,18.03
2019-03-16 23,0.003,0.4,0.031,0.022,33,26,7.6,0,0.9,250,146.33229,1.57,2.08,41.33,2.77,8.66,15.58
2019-03-17 00,0.003,0.4,0.029,0.024,38,30,5.2,0,1.498539542,295.685831,173.39268,1.76,2.09,42.99,3.25,9.62,13.05
2019-03-17 01,0.003,0.4,0.037,0.014,35,27,6.4,0,1.9,340,217.53845,2.67,1.87,71.94,2.94,11.96,17.97
2019-03-17 02,0.002,0.4,0.038,0.011,37,28,5.3,0,2.5,360,290.11987,2.78,0.9,59.36,2.78,12.43,18.23
2019-03-17 03,0.002,0.4,0.041,0.009,40,25,4.7,0,1.6,320,415.54175,1.92,0.56,37.81,2.4,17.57,10.57
2019-03-17 04,0.002,0.4,0.043,0.008,30,25,4.9,0,2.9,20,528.38745,1.52,0.45,28.13,2.13,14.86,7.7
2019-03-17 05,0.002,0.3,0.045,0.007,28,19,4.9,0,1.6,340,592.40576,1.48,0.63,25.54,2.15,12.6,7.48
2019-03-17 06,0.002,0.3,0.05,0.006,28,20,5,0,2.7,290,566.062,1.31,1.05,22.4,1.9,11.41,5.73
2019-03-17 07,0.002,0.3,0.051,0.006,31,16,4.8,0,2.4,290,336.93384,0.98,1,19.75,1.4,8.6,5.3
2019-03-17 08,0.002,0.3,0.05,0.006,31,15,6.1,0,3.7,290,414.854,0.63,1.01,20.08,1.21,6.84,5.52
2019-03-17 09,0.002,0.3,0.051,0.006,33,13,7.4,0,3.7,290,514.5918,0.73,1.11,20.21,1.05,5.75,4.7
2019-03-17 10,0.002,0.3,0.052,0.006,31,12,9.4,0,3.7,320,739.52466,1.13,0.82,19.44,0.83,5.5,3.72
2019-03-17 11,0.002,0.3,0.053,0.006,27,15,10.6,0,2.8,290,1138.4939,0.69,0.79,19.69,1.08,5.99,4.27
2019-03-17 12,0.002,0.3,0.054,0.006,24,15,11.7,0,3.1,290,1691.0339,0.83,0.69,19.2,1.22,6.37,4.06
2019-03-17 13,0.002,0.3,0.055,0.006,23,11,12.3,0,4,250,1990.7908,0.74,0.58,14.95,0.68,4.66,3.5
2019-03-17 14,0.002,0.3,0.057,0.006,25,14,13,0,3.4,290,2358.7065,0.7,0.73,16.88,0.78,4.91,3.77
2019-03-17 15,0.002,0.3,0.057,0.006,31,13,14,0,1.6,270,2378.7373,1.14,0.48,15.75,0.55,5.21,3.6
2019-03-17 16,0.003,0.3,0.057,0.008,32,12,12.2,0,3.8,110,2229.438,0.89,1.73,23.81,1.14,5.79,15.29
2019-03-17 17,0.003,0.3,0.057,0.009,37,14,11,0,2.9,140,1983.4644,0.85,1.68,32.38,1.74,7.39,16.07
2019-03-17 18,0.003,0.3,0.057,0.01,33,16,10.1,0,2.7,140,158.65582,1.03,1.67,35.64,1.88,8.21,7.75
2019-03-17 19,0.003,0.3,0.055,0.011,31,16,9.4,0,2,110,191.02438,1.17,1.94,34.48,1.13,7.52,6.4
2019-03-17 20,0.003,0.3,0.046,0.016,34,18,7.6,0,0.3,286.3072148,262.68115,1.31,1.53,29.84,1.3,7.1,7.71
2019-03-17 21,0.002,0.4,0.036,0.021,34,15,7.3,0,0.7,320,294.15332,1.19,1.42,37.17,1.49,8.36,8.29
2019-03-17 22,0.003,0.4,0.034,0.021,34,16,7.1,0,1.3,320,265.3181,1.03,1.31,36.01,1.44,7.75,7.19
2019-03-17 23,0.003,0.4,0.03,0.024,31,17,7.1,0,1.5,320,228.58737,1.14,1.51,29.88,1.72,8.27,6.83
2019-03-18 00,0.003,0.3,0.05,0.01,25,16,5.9,0,0.2,277.756566,232.87193,1.06,1.81,37.72,4.14,14.13,6.56
2019-03-18 01,0.003,0.4,0.029,0.02,36,20,4.9,0,0.2,327.6728254,237.5351,1.07,2.37,47.82,6.08,22.27,6.86
2019-03-18 02,0.003,0.4,0.025,0.021,33,21,4.8,0,1.534990463,278.3233718,224.71422,1.21,2.04,36.52,4.1,14.55,6.66
2019-03-18 03,0.003,0.4,0.027,0.019,35,14,4.4,0,0.2,261.1210103,205.13763,0.77,2.3,32.53,2.97,11.49,6.13
2019-03-18 04,0.003,0.4,0.021,0.02,32,16,3.9,0,0.3,262.1925453,185.36694,1.17,2.73,29.05,2.48,9.94,6.18
2019-03-18 05,0.002,0.4,0.024,0.019,34,25,4,0,0.2,273.3480493,189.00273,1.38,3.48,28.44,2.4,8.49,6.38
2019-03-18 06,0.002,0.4,0.016,0.023,37,26,3.4,0,0.3,311.5661015,204.24629,0.68,3.61,28.47,2.16,8.3,6.37
2019-03-18 07,0.002,0.4,0.013,0.028,35,19,3.4,0,0.7,340,125.954254,1.01,3.99,31.51,2.02,8.18,7.81
2019-03-18 08,0.003,0.4,0.014,0.029,35,22,6.6,0,0.3,250.9401797,168.7958,0.98,3.5,31.19,1.86,8.7,7
2019-03-18 09,0.003,0.5,0.014,0.03,43,25,10.1,0,0.8,110,716.2168,1.06,3.3,43.44,2,9.69,7.8
2019-03-18 10,0.004,0.6,0.017,0.036,54,19,12.5,0,3,180,1051.2,1,4.06,34.01,1.83,8.5,7.05
2019-03-18 11,0.003,0.3,0.041,0.024,55,10,13.8,0,4.6,200,1193.3367,1.04,2.65,32.62,1.47,7.28,9.87
2019-03-18 12,0.00273828,0.403464996,0.052415658,0.009516269,38,9,14.3,0,5.6,200,1294.7043,1,2.02,23.62,1.56,5,7.85
2019-03-18 13,0.002,0.3,0.05,0.013,31,12,15,0,3.7,180,1364.1558,2.11,3.38,36.47,1.49,5.48,13.2
2019-03-18 14,0.003,0.3,0.048,0.015,31,18,15.9,0,3.4,200,1384.706,5.61,5.54,55.89,1.93,7.48,25.02
2019-03-18 15,0.002,0.3,0.054,0.013,35,15,15.7,0,4.1,200,1316.7634,5.97,4.96,39.3,1.31,7.92,30.15
2019-03-18 16,0.002,0.3,0.056,0.012,31,14,15.2,0,2.9,250,1063.457,2.98,2.85,30.46,1.09,5.73,21.32
2019-03-18 17,0.002,0.3,0.054,0.014,29,14,14.5,0,2.7,230,822.11865,2.81,2.77,28.1,0.9,5.69,17.16
2019-03-18 18,0.002,0.3,0.049,0.016,31,12,13.9,0,3.1,200,578.43115,3.15,3.27,31.41,1.23,5.3,18.55
2019-03-18 19,0.002,0.3,0.043,0.02,32,14,12.8,0,1.9,200,439.9502,4.33,4.19,37.6,1.6,5.98,22.57
2019-03-18 20,0.003,0.3,0.044,0.019,35,15,12.3,0,3.5,200,424.56177,4.98,4.23,37.92,1.29,7.12,23.79
2019-03-18 21,0.003,0.3,0.041,0.019,30,17,11.9,0,2.6,200,405.27588,4.71,4.54,37.7,1.46,6.71,26.49
2019-03-18 22,0.003,0.3,0.038,0.02,32,13,11.9,0,2.5,230,402.21265,2.71,3.52,30.41,1.15,5.86,19.85
2019-03-18 23,0.003,0.3,0.049,0.013,29,13,11.8,0,1.9,230,365.52173,2.1,2.76,26.95,1.19,5.34,12.44
2019-03-19 00,0.008,0.5,0.012,0.046,63,13,11.4,0,2.1,270,254.70099,1.66,2.95,34.39,1.24,5.88,12.8
2019-03-19 01,0.003,0.3,0.048,0.011,23,16,10.7,0,2.2,270,178.65315,1.94,2.96,39.57,1.16,6.7,13.46
2019-03-19 02,0.003,0.3,0.047,0.01,26,14,9.6,0,1.7,290,149.31558,1.56,2.98,53.39,1.41,6.58,12.7
2019-03-19 03,0.003,0.3,0.043,0.011,32,14,9.4,0,2,290,115.84039,1.97,2.83,39.41,1.33,6.39,14.61
2019-03-19 04,0.003,0.3,0.04,0.01,28,14,9.7,0,0.7,320,90.66603,1.72,2.24,36.8,1.17,5.72,16.22
2019-03-19 05,0.003,0.3,0.036,0.013,30,13,8.6,0,2.1,320,81.23802,1.67,1.86,35.94,1.37,5.55,11.43
2019-03-19 06,0.003,0.3,0.034,0.014,26,13,8.5,0,1.8,320,81.298996,1.7,1.7,39.49,0.95,6.39,13.86
2019-03-19 07,0.003,0.3,0.037,0.013,24,17,8.8,0,2.3,340,84.589294,1.85,1.56,48.7,1.26,6.6,13.6
2019-03-19 08,0.003,0.3,0.037,0.014,26,19,10,0,1.7,340,119.43681,1.98,1.55,82.66,1.31,8.61,11.6
2019-03-19 09,0.002,0.3,0.041,0.012,29,15,12.4,0,3.2,340,484.89868,1.74,1.08,136.91,0.9,9.7,21.91
2019-03-19 10,0.002,0.3,0.044,0.013,28,15,14.9,0,2.9,360,597.27075,2.82,0.97,114.7,1.31,9.14,40.84
2019-03-19 11,0.002,0.4,0.05,0.014,28,14,16.6,0,3.4,20,750.5491,1.93,0.5,65.74,1.84,8.5,25.86
2019-03-19 12,0.002,0.3,0.058,0.012,30,17,17.8,0,3.1,340,1012.6294,2.49,0.59,58.65,1.61,11.79,23.93
2019-03-19 13,0.003,0.3,0.072,0.009,34,24,18.8,0,4.1,340,1249.2368,2.55,0.87,72.53,1.65,14.59,18.84
2019-03-19 14,0.003,0.4,0.072,0.01,41,32,19.7,0,3.5,360,1357.4312,2.77,1.28,94.5,2.26,18.2,20.18
2019-03-19 15,0.005,0.4,0.07,0.017,50,44,19.4,0,2.1,160,1408.0527,3.96,4.81,120.35,3.27,21.81,63.66
2019-03-19 16,0.011,0.3,0.057,0.029,64,36,17.3,0,3.2,160,746.3679,2.53,12.5,243.07,9.75,119.46,105.94
2019-03-19 17,0.007,0.4,0.059,0.029,63,33,16.9,0,2.1,140,305.24585,2.34,7.01,218.1,5.56,37.17,87.26
2019-03-19 18,0.013,0.4,0.04,0.039,55,36,15.2,0,1,140,131.67107,3.25,16.32,209.47,8.21,37.63,95.51
2019-03-19 19,0.022,0.5,0.021,0.055,55,46,13.4,0,0.5,110,136.53358,6.44,25.37,272.96,22.43,109.49,118.39
2019-03-19 20,0.018,0.4,0.009,0.059,81,49,12.4,0,0.8,340,124.64406,7.04,25.97,236.34,16.63,90.28,97.3
2019-03-19 21,0.017,0.5,0.009,0.057,68,50,13.1,0,1.1,320,92.40021,8.18,27.62,272.8,15.41,74.61,85.63
2019-03-19 22,0.014,0.5,0.016,0.05,74,40,12.4,0,1.7,320,56.25508,8.7,8.06,128.31,6.01,28.43,51.34
2019-03-19 23,0.009,0.5,0.025,0.037,71,45,13,0,2.4,320,34.42343,10.02,12.34,218.16,12.77,72.11,87.83
2019-03-20 00,0.006,0.2,0.043,0.019,35,53,11.3,0,0.5,230,25.863785,5.81,5.8,183.87,12.42,92.35,68.24
2019-03-20 01,0.005,0.6,0.011,0.048,73,55,13.8,0,2.2,340,24.006927,5.45,3.62,168.42,8.06,98.31,48.93
2019-03-20 02,0.004,0.5,0.026,0.036,72,59,12.8,0,1.9,320,19.865677,4.53,3.01,159.1,6.09,89.8,36.47
2019-03-20 03,0.003,0.5,0.033,0.026,76,56,11.1,0,1.4,270,17.332535,5.31,3.46,165,5.4,70,35.89
2019-03-20 04,0.003,0.5,0.018,0.034,74,58,9.4,0,0.6,200,17.82927,6.06,3.44,136.46,4.8,54.11,31.72
2019-03-20 05,0.003,0.5,0.017,0.034,70,60,9.4,0,0.2,212.7132192,19.944702,4.41,2.28,132.48,4.66,58.04,26.78
2019-03-20 06,0.003,0.5,0.018,0.032,69,56,8.7,0,0.7,20,23.890427,4.8,2.57,130.84,4.79,49.2,29.79
2019-03-20 07,0.003,0.5,0.018,0.033,73,58,9.7,0,0.1,234.8570116,23.78328,4.67,2.58,112.32,4.08,31.51,26.57
2019-03-20 08,0.004,0.6,0.008,0.046,79,55,10,0,0.1,265.5389226,34.183548,5.1,3.02,101.59,3.97,28.5,27.76
